record_id,heiss_category,heiss_region,heiss_bilateral_mean_umol_100g_min,heiss_bilateral_sd,mapped_macro_region,compiled_measure_type,fossil_endocast_visibility,comparability_grade,human_value_cc_when_available,chimp_value_cc_when_available,australopithecus_ecv_proxy_cc,human_vs_chimp_volume_ratio,human_vs_australopithecus_volume_ratio_proxy,human_vs_australopithecus_external_surface_ratio_proxy,confidence,estimation_method,source_ids,notes
HM_EXP_001,Cerebral cortex,Cerebral cortex (global average),33.5,2.98,Neocortex / cerebral cortex proxy,volume,Partial - broad external cerebral surface only,B: macro proxy,588.844,147.911,445.0,3.981,3.034,2.096,Medium,Human/chimp neocortex from Rilling & Insel log observed neocortical volumes; Australopithecus estimate uses whole ECV proxy only.,S2;S3;S7;S9,"Do not interpret as exact fossil cortical volume; endocasts preserve external braincase surface, not cortical gray/white compartments."
HM_EXP_002,Cerebral cortex,Frontal lobe,35.3,3.51,Frontal lobe / external cortical proxy,volume,Partial - external lobe/sulcal proxy only,C: fossil lobe proxy,588.844,147.911,445.0,3.981,3.034,2.096,Low-Medium,No Heiss-level fossil lobe volume available; uses neocortical human/chimp ratio and whole-ECV human/A. afarensis proxy.,S2;S3;S6;S7;S9,Region-specific expansion is not directly estimated here. Frontal/parietal/temporal/occipital boundaries on endocasts are uncertain; use as screening rows.
HM_EXP_003,Cerebral cortex,Parietal lobe,35.8,3.23,Parietal lobe / external cortical proxy,volume,Partial - external lobe/sulcal proxy only,C: fossil lobe proxy,588.844,147.911,445.0,3.981,3.034,2.096,Low-Medium,No Heiss-level fossil lobe volume available; uses neocortical human/chimp ratio and whole-ECV human/A. afarensis proxy.,S2;S3;S6;S7;S9,Region-specific expansion is not directly estimated here. Frontal/parietal/temporal/occipital boundaries on endocasts are uncertain; use as screening rows.
HM_EXP_004,Cerebral cortex,Temporal lobe,30.5,2.54,Temporal lobe / external cortical proxy,volume,Partial - external lobe/sulcal proxy only,C: fossil lobe proxy,588.844,147.911,445.0,3.981,3.034,2.096,Low-Medium,No Heiss-level fossil lobe volume available; uses neocortical human/chimp ratio and whole-ECV human/A. afarensis proxy.,S2;S3;S6;S7;S9,Region-specific expansion is not directly estimated here. Frontal/parietal/temporal/occipital boundaries on endocasts are uncertain; use as screening rows.
HM_EXP_005,Cerebral cortex,Occipital lobe,35.8,3.12,Occipital lobe / external cortical proxy,volume,Partial - external lobe/sulcal proxy only,C: fossil lobe proxy,588.844,147.911,445.0,3.981,3.034,2.096,Low-Medium,No Heiss-level fossil lobe volume available; uses neocortical human/chimp ratio and whole-ECV human/A. afarensis proxy.,S2;S3;S6;S7;S9,Region-specific expansion is not directly estimated here. Frontal/parietal/temporal/occipital boundaries on endocasts are uncertain; use as screening rows.
HM_EXP_006,Cerebral cortex,Insular lobe,30.3,2.55,Insular lobe / external cortical proxy,volume,Partial - external lobe/sulcal proxy only,C: fossil lobe proxy,588.844,147.911,445.0,3.981,3.034,2.096,Low-Medium,No Heiss-level fossil lobe volume available; uses neocortical human/chimp ratio and whole-ECV human/A. afarensis proxy.,S2;S3;S6;S7;S9,Region-specific expansion is not directly estimated here. Frontal/parietal/temporal/occipital boundaries on endocasts are uncertain; use as screening rows.
HM_EXP_007,Cerebral cortex,Hippocampus,25.7,2.11,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_008,Forebrain nuclei,Caudatum,32.6,3.04,Striatum,volume ratio,No,D: MRI/histology only,,,,,,,Medium for human/chimp direction; none for fossil,"Exact caudate/putamen ratios not extracted here; Chen et al. report human expansion of subcortical structures, with striatum/thalamus/GP ratios 1.52-2.13 and caudate more expanded than putamen in shape maps.",S5;S7,Use Chen et al. primary data/figures for side-specific caudate-putamen values if exact structure-specific ratios are required.
HM_EXP_009,Forebrain nuclei,Putamen,40.2,3.5,Striatum,volume ratio,No,D: MRI/histology only,,,,,,,Medium for human/chimp direction; none for fossil,"Exact caudate/putamen ratios not extracted here; Chen et al. report human expansion of subcortical structures, with striatum/thalamus/GP ratios 1.52-2.13 and caudate more expanded than putamen in shape maps.",S5;S7,Use Chen et al. primary data/figures for side-specific caudate-putamen values if exact structure-specific ratios are required.
HM_EXP_010,Forebrain nuclei,Nucleus accumbens,32.3,2.39,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_011,Forebrain nuclei,Pallidum,21.9,2.26,Globus pallidus,volume ratio,No,D: MRI/histology only,,,,1.52,,,Medium-Low,Lower end of Chen et al. reported human/chimp subcortical ratio range is right globus pallidus 1.52; exact bilateral average not extracted.,S5;S7,"Use as conservative GP lower-bound ratio, not a bilateral mean."
HM_EXP_012,Forebrain nuclei,Nucleus medial thalami,36.6,4.72,Thalamus / medial thalamic proxy,volume ratio,No,D: MRI/histology only,,,,2.13,,,Medium-Low,Upper end of Chen et al. reported human/chimp subcortical ratio range is left thalamus 2.13; Heiss medial thalamus is not identical to whole thalamus.,S5;S7,Proxy for thalamic expansion only; not nucleus-specific and not fossil-estimable.
HM_EXP_013,Forebrain nuclei,Corpus geniculatum laterale,23.1,3.33,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_014,Forebrain nuclei,Corpus geniculatum mediale,20.2,2.87,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_015,Forebrain nuclei,Nucleus subthalamicus,25.2,3.29,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_016,Forebrain nuclei,Basal forebrain,21.4,3.19,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_017,Forebrain nuclei,Corpus amygdaloideum,22.2,1.74,Internal forebrain / limbic or diencephalic structure,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Not visible on endocasts; requires extant-species MRI/histology segmentation.,S1;S7,"Comparable to Heiss segmentation in living humans/chimps, but not recoverable from Australopithecus endocasts."
HM_EXP_018,Brain stem nuclei,Colliculus inferior,31.4,3.63,Midbrain / brainstem nuclei,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Brainstem nuclei are not visible on endocasts; extant comparative neuroanatomy required.,S1;S7,No Australopithecus estimate should be made from endocasts.
HM_EXP_019,Brain stem nuclei,Colliculus superior,24.4,2.47,Midbrain / brainstem nuclei,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Brainstem nuclei are not visible on endocasts; extant comparative neuroanatomy required.,S1;S7,No Australopithecus estimate should be made from endocasts.
HM_EXP_020,Brain stem nuclei,Substantia nigra,22.8,2.35,Midbrain / brainstem nuclei,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Brainstem nuclei are not visible on endocasts; extant comparative neuroanatomy required.,S1;S7,No Australopithecus estimate should be made from endocasts.
HM_EXP_021,Brain stem nuclei,Nucleus ruber,31,3.1,Midbrain / brainstem nuclei,volume,No,D: MRI/histology only,,,,,,,Not estimable from fossils,Brainstem nuclei are not visible on endocasts; extant comparative neuroanatomy required.,S1;S7,No Australopithecus estimate should be made from endocasts.
HM_EXP_022,Cerebellum,Cerebellar cortex,29.8,2.2,Cerebellum / posterior fossa proxy,volume,Weak partial - posterior fossa/endocast shape only,C/D: coarse fossil proxy only,,,,,3.034,2.096,Low,"Endocasts may weakly inform posterior fossa/cerebellar region, but Heiss cerebellar cortex/vermis/dentate labels are not directly fossil-visible.",S6;S7,Treat only as a coarse posterior fossa proxy. Dentate nucleus and vermis are not visible on fossil endocasts.
HM_EXP_023,Cerebellum,Vermis,30.1,1.96,Cerebellum / posterior fossa proxy,volume,Weak partial - posterior fossa/endocast shape only,C/D: coarse fossil proxy only,,,,,,,Low,"Endocasts may weakly inform posterior fossa/cerebellar region, but Heiss cerebellar cortex/vermis/dentate labels are not directly fossil-visible.",S6;S7,Treat only as a coarse posterior fossa proxy. Dentate nucleus and vermis are not visible on fossil endocasts.
